Id,Price
725,150668.5823447616
15856,231398.09215753115
5480,247131.91866636692
15664,271414.49175590894
14275,141546.01081406386
7633,224239.16249618097
13329,161902.39785195806
5502,223384.62669195957
4220,297000.3760695345
11538,212667.88122439777
15975,256346.1517116155
3310,215070.99692156212
9286,149606.55208745814
11260,194192.78743533132
5214,106158.89985264915
11307,186868.7030360129
13543,410348.96492868284
615,185794.0179727248
3495,221119.63410757625
2321,236364.63122984557
12046,191946.44521489745
16688,139828.1939168203
12694,243135.88647939145
783,161441.04024052105
8968,174722.23980965556
13454,174075.38183814005
12190,253587.22203888724
11160,111596.96988891801
10291,194796.90145763702
891,295099.92037825193
2982,181233.51149492577
3818,270796.8009884161
2449,196913.2170316093
8317,170982.14253601478
4922,186270.45086299392
1257,241352.2081265614
9348,176081.97945631738
4176,175560.34185416132
10704,163879.27526164046
6624,116380.036450394
5428,193898.28397909028
12749,183771.41426068277
8994,230062.15125624245
11513,142949.24310793544
3047,192561.41074418253
9519,219310.80770672442
12309,264103.06589506625
14081,264429.37833813997
8334,254858.94574011894
6343,179826.41194121726
14788,129792.64730320431
15748,344653.9402981334
153,258018.2933577812
14149,184834.600659136
269,189143.53396157702
5452,138687.01185927584
721,157812.6317367787
5079,303790.9832294436
2831,126904.77069126314
10614,110802.55834672267
10131,287282.0628198987
9996,327817.669328949
3061,183241.50462513667
11733,305195.192390718
3726,236147.7452783998
10929,214594.31242719488
9011,250754.99750515787
16182,277162.49130129215
4976,175512.68335553881
9897,248650.50124892272
1872,153957.12447886224
9205,437624.75672974566
5403,394913.0819501335
14074,178147.76177964217
6268,147248.77365399018
14232,162045.30345617005
8532,239296.03602448205
7034,323806.35898411553
6553,442651.3039078128
3133,167513.59995256132
8596,199086.13378969266
12389,228563.53056635894
14462,176642.5603094152
8860,332242.74838183774
8377,263812.57547071046
6367,351694.28825458913
6917,249257.10193263018
4216,208485.87617417608
5806,177648.84301382638
5438,179729.15273994853
6632,209055.6945485511
2650,153042.18041828802
5396,178421.93996753768
4044,153931.18180526086
1345,245278.33330371606
856,181287.5304961618
12791,271959.26157480205
12499,215143.23740580442
12249,127238.51615243444
14641,157459.33203802572
1919,163339.9493356261
7848,194527.1908601301
10749,180551.87241155969
15554,177232.51285313966
15834,200292.16008029346
1355,160446.74279098716
15451,170953.4255957033
12401,213361.30431199414
10290,169604.57140099813
9462,119903.52243629786
3103,237877.28703331758
3420,141931.56858438387
12262,234871.52132237467
5032,135146.85125757966
8949,336799.71882630966
15567,221583.3867476047
16389,163598.79232244045
7809,92312.04204582899
8990,180155.18827842874
16089,272055.48646613734
12743,104735.96185048876
5132,124001.69998947364
1619,301972.11538409267
2428,103350.59410506985
16741,156739.12643232624
13193,226879.1011696486
12588,495604.28454341757
5067,164161.01441461308
14685,125248.11017697185
2292,165353.30152856887
5746,122657.52076183105
12578,159121.02685482512
14834,182377.44614536126
2147,168329.48622845908
8222,128095.6861236181
10419,262498.9176576744
11492,223346.11008037708
3006,222039.35771560663
8761,190771.3648121521
15371,326831.78371878754
16367,170591.32458189942
6317,290244.928469909
10878,302316.5378708658
3895,155256.5969240625
8041,200008.05594685953
13428,442562.81841070944
14669,146833.189798103
1006,181355.53716130892
12271,178271.67936368703
3764,368675.50414426054
7675,202402.2405398522
11709,288171.38833087386
8629,155028.27594748914
1105,275016.5207411641
6096,193014.16134435093
11727,212642.3645244294
5157,165559.02134071934
3679,138265.7110931927
1755,134080.66177805307
7391,189163.5184832259
7425,103477.81593049162
6882,361635.4165684143
10752,309319.549970511
7472,225522.8139983938
14320,102008.28527345211
9596,165933.222200527
5317,235430.8365360988
7378,86334.27548251863
16154,182844.97192599915
3464,177703.22085890576
4197,245889.90626224986
